NID,CCN,REPORTDATETIME,SHIFT,OFFENSE,METHOD,LASTMODIFIEDDATE,BLOCKSITEADDRESS,NARRATIVE,LATITUDE,LONGITUDE,CITY,STATE,WARD,ANC,SMD,DISTRICT,PSA,NEIGHBORHOODCLUSTER,HOTSPOT2006NAME,HOTSPOT2005NAME,HOTSPOT2004NAME,BUSINESSIMPROVEMENTDISTRICT
808855,10023702,2/24/2010 12:00:00 AM,UNK,ROBBERY,F&V,3/5/2010 7:16:58 AM,5000 B/O GEORGIA AVE NW,NO NARRATIVE IS AVAILABLE.,38.95117038476480,-77.02733313848050,WASHINGTON,DC,4,4C,4C02,FOURTH,403,18,NONE,NONE,NONE,NONE
808970,10023907,2/25/2010 12:00:00 AM,UNK,STOLEN AUTO,STOLEN AUTO,3/5/2010 7:16:58 AM,1100 B/O STEVENS RD SE,NO NARRATIVE IS AVAILABLE.,38.86008143830650,-77.00099778314650,WASHINGTON,DC,8,8C,8C01,SEVENTH,703,37,NONE,NONE,NONE,NONE
809223,10024238,2/25/2010 12:00:00 AM,UNK,THEFT,1,3/5/2010 7:16:58 AM,UNIT B/O ELMIRA ST SW,NO NARRATIVE IS AVAILABLE.,38.82607422052680,-77.008900916087,WASHINGTON,DC,8,8D,8D06,SEVENTH,706,39,NONE,NONE,NONE,NONE
809451,10024549,2/26/2010 12:00:00 AM,UNK,THEFT,1,3/5/2010 7:16:58 AM,3000 B/O STANTON RD SE,NO NARRATIVE IS AVAILABLE.,38.85391414177290,-76.98446426872640,WASHINGTON,DC,8,8B,8B04,SEVENTH,704,38,NONE,NONE,NONE,NONE
809510,10024616,2/26/2010 12:00:00 AM,UNK,ADW,GUN,3/5/2010 7:16:58 AM,8TH ST NE & F ST NE,NO NARRATIVE IS AVAILABLE.,38.897333197153,-76.994965134719,WASHINGTON,DC,6,6C,6C06,FIRST,102,25,NONE,NONE,NONE,NONE
809656,10024784,2/26/2010 12:00:00 AM,UNK,THEFT,2,3/5/2010 7:16:58 AM,3400 B/O 22ND ST SE,NO NARRATIVE IS AVAILABLE.,38.84565999095710,-76.972771335691,WASHINGTON,DC,8,8B,8B06,SEVENTH,704,38,NONE,NONE,NONE,NONE
809703,10024853,2/26/2010 12:00:00 AM,UNK,THEFT,2,3/5/2010 7:16:58 AM,1600 B/O MARYLAND AVE NE,NO NARRATIVE IS AVAILABLE.,38.90136164033650,-76.98039478088390,WASHINGTON,DC,5,5B,5B10,FIFTH,504,23,NONE,NONE,NONE,NONE
809711,10024801,2/26/2010 12:00:00 AM,UNK,THEFT F/AUTO,ATTEMPT,3/5/2010 7:16:58 AM,4200 B/O EAST CAPITOL ST,NO NARRATIVE IS AVAILABLE.,38.88977763685860,-76.94020721658720,WASHINGTON,DC,7,7D,7D05,SIXTH,603,32,NONE,NONE,NONE,NONE
810041,10025301,2/27/2010 12:00:00 AM,UNK,THEFT,SHOPLIFTING,3/5/2010 7:16:58 AM,2200 B/O MARTIN LUTHER KING JR AVE SE,NO NARRATIVE IS AVAILABLE.,38.86385669574260,-76.99033562489710,WASHINGTON,DC,8,8A,8A03,SEVENTH,701,28,NONE,NONE,NONE,NONE
810114,10025470,2/28/2010 12:00:00 AM,UNK,BURGLARY,2,3/5/2010 7:16:58 AM,3500 B/O BROTHERS PL SE,NO NARRATIVE IS AVAILABLE.,38.84043109593680,-77.00559622726570,WASHINGTON,DC,8,8C,8C04,SEVENTH,705,39,NONE,NONE,NONE,NONE
810325,10025711,2/28/2010 12:00:00 AM,UNK,THEFT,2,3/5/2010 7:16:58 AM,1700 B/O 18TH ST NW,NO NARRATIVE IS AVAILABLE.,38.91372426158150,-77.04166045811220,WASHINGTON,DC,2,2B,2B03,SECOND,208,6,NONE,NONE,NONE,NONE
810395,10025713,2/28/2010 12:00:00 AM,UNK,THEFT F/AUTO,2,3/5/2010 7:16:58 AM,4700 B/O 15TH ST NW,NO NARRATIVE IS AVAILABLE.,38.94772521159840,-77.03451760883940,WASHINGTON,DC,4,4C,4C02,FOURTH,404,18,NONE,NONE,NONE,NONE
810621,10026047,3/1/2010 12:00:00 AM,UNK,STOLEN AUTO,STOLEN AUTO,3/5/2010 7:16:58 AM,17TH ST NW & COLUMBIA RD NW,NO NARRATIVE IS AVAILABLE.,38.92494550898020,-77.03914879340120,WASHINGTON,DC,1,1C,1C05,THIRD,303,1,COLUMBIA RD NW & EUCLID ST NW,COLUMBIA RD NW & EUCLID ST NW,NONE,ADAMS MORGAN BID
810809,10026280,3/1/2010 12:00:00 AM,UNK,STOLEN AUTO,STOLEN AUTO,3/5/2010 7:16:58 AM,,NO NARRATIVE IS AVAILABLE.,0,0,,,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE
810913,10026442,3/2/2010 12:00:00 AM,UNK,THEFT,2,3/5/2010 7:16:58 AM,2600 B/O WOODLEY RD NW,NO NARRATIVE IS AVAILABLE.,38.92570394351180,-77.05400526940730,WASHINGTON,DC,3,3C,3C02,SECOND,204,15,NONE,NONE,NONE,NONE
810945,10026478,3/2/2010 12:00:00 AM,UNK,ROBBERY,ASSAULT W/INTENT,3/5/2010 7:16:58 AM,1300 B/O I ST NW,NO NARRATIVE IS AVAILABLE.,38.90133186424990,-77.03079309909260,WASHINGTON,DC,2,2F,2F03,FIRST,101,8,NONE,NONE,NONE,DOWNTOWN BID
811188,10026826,3/3/2010 12:00:00 AM,UNK,THEFT,BICYCLE,3/5/2010 7:16:58 AM,100 B/O 11TH ST NE,NO NARRATIVE IS AVAILABLE.,38.89118811516630,-76.99153034628990,WASHINGTON,DC,6,6A,6A03,FIRST,103,26,NONE,NONE,NONE,NONE
811196,10026815,3/3/2010 12:00:00 AM,UNK,BURGLARY,2,3/5/2010 7:16:58 AM,300 B/O ELM ST NW,NO NARRATIVE IS AVAILABLE.,38.91742798534440,-77.01675708005930,WASHINGTON,DC,1,1B,1B01,THIRD,305,3,NONE,NONE,NONE,NONE
811228,09087043,6/23/2009 12:00:00 AM,EVN,STOLEN AUTO,STOLEN AUTO,3/5/2010 7:16:58 AM,UNIT B/O BRYANT ST NW,NO NARRATIVE IS AVAILABLE.,38.92130327224370,-77.01059541190960,WASHINGTON,DC,5,5C,5C07,FIFTH,501,21,NONE,NONE,NONE,NONE
811230,10026865,3/3/2010 12:00:00 AM,UNK,THEFT F/AUTO,2,3/5/2010 7:16:58 AM,4500 B/O BENNING RD NE,NO NARRATIVE IS AVAILABLE.,38.89022588004340,-76.937766656301,WASHINGTON,DC,7,7D,7D05,SIXTH,603,32,NONE,NONE,NONE,NONE
811233,09167973,11/24/2009 12:00:00 AM,EVN,STOLEN AUTO,STOLEN AUTO,3/5/2010 7:16:58 AM,2300 B/O 15TH ST NE,NO NARRATIVE IS AVAILABLE.,38.92077041762910,-76.98232213301780,WASHINGTON,DC,5,5B,5B03,FIFTH,505,22,NONE,NONE,NONE,NONE
811253,09112345,8/8/2009 12:00:00 AM,MID,STOLEN AUTO,STOLEN AUTO,3/5/2010 7:16:58 AM,1900 B/O M ST NE,NO NARRATIVE IS AVAILABLE.,38.90562195336390,-76.97579140864560,WASHINGTON,DC,5,5B,5B10,FIFTH,504,23,NONE,NONE,NONE,NONE
811260,09152091,10/23/2009 12:00:00 AM,EVN,STOLEN AUTO,STOLEN AUTO,3/5/2010 7:16:58 AM,900 B/O BRENTWOOD RD NE,NO NARRATIVE IS AVAILABLE.,38.918256591462,-76.99257898813480,WASHINGTON,DC,5,5B,5B03,FIFTH,505,21,NONE,NONE,NONE,NONE
811279,10026920,3/3/2010 12:00:00 AM,UNK,THEFT,2,3/5/2010 7:16:58 AM,2500 B/O VIRGINIA AVE NW,NO NARRATIVE IS AVAILABLE.,38.899774685285,-77.05495508525340,WASHINGTON,DC,2,2A,2A04,SECOND,207,5,NONE,NONE,NONE,NONE
811284,10026867,3/3/2010 12:00:00 AM,UNK,THEFT F/AUTO,2,3/5/2010 7:16:58 AM,5100 B/O SHERIER PL NW,NO NARRATIVE IS AVAILABLE.,38.92640372657310,-77.10451295481590,WASHINGTON,DC,3,3D,3D05,SECOND,205,13,NONE,NONE,NONE,NONE
811325,10026984,3/3/2010 12:00:00 AM,UNK,THEFT,2,3/5/2010 7:16:58 AM,600 B/O PENNSYLVANIA AVE SE,NO NARRATIVE IS AVAILABLE.,38.88511666079070,-76.99732716974210,WASHINGTON,DC,6,6B,6B02,FIRST,106,26,NONE,NONE,NONE,CAPITOL HILL BID
811330,10026971,3/3/2010 12:00:00 AM,UNK,ROBBERY,GUN,3/5/2010 7:16:58 AM,4TH ST NW & DECATUR ST NW,NO NARRATIVE IS AVAILABLE.,38.94853719106990,-77.01743153651670,,,4,4C,4C09,FOURTH,404,18,NONE,NONE,NONE,NONE
811340,10027003,3/3/2010 12:00:00 AM,UNK,THEFT,2,3/5/2010 7:16:58 AM,2900 B/O 12TH ST NE,NO NARRATIVE IS AVAILABLE.,38.92706306518710,-76.99056167417590,WASHINGTON,DC,5,5B,5B04,FIFTH,502,22,NONE,NONE,NONE,NONE
811341,10026999,3/3/2010 12:00:00 AM,UNK,THEFT,1,3/5/2010 7:16:58 AM,6100 B/O BLAIR RD NW,NO NARRATIVE IS AVAILABLE.,38.96437472600940,-77.01185303275560,WASHINGTON,DC,4,4B,4B06,FOURTH,402,17,NONE,NONE,NONE,NONE
811345,10027004,3/3/2010 12:00:00 AM,UNK,THEFT,BICYCLE,3/5/2010 7:16:58 AM,1100 B/O I ST NE,NO NARRATIVE IS AVAILABLE.,38.90131825406340,-76.99088571434790,WASHINGTON,DC,6,6A,6A01,FIRST,102,25,NONE,NONE,NONE,NONE
811346,10027002,3/3/2010 12:00:00 AM,UNK,THEFT,2,3/5/2010 7:16:58 AM,6200 B/O KANSAS AVE NE,NO NARRATIVE IS AVAILABLE.,38.96599484820670,-77.008005810880,WASHINGTON,DC,4,4B,4B07,FOURTH,402,19,NONE,NONE,NONE,NONE
811384,10027007,3/3/2010 12:00:00 AM,UNK,ADW,OTHER,3/5/2010 7:16:58 AM,1800 B/O CONSTITUTION AVE NE,NO NARRATIVE IS AVAILABLE.,38.89200426049880,-76.97818303462120,WASHINGTON,DC,6,6A,6A08,FIRST,103,25,NONE,NONE,NONE,NONE
811397,10027045,3/3/2010 12:00:00 AM,UNK,STOLEN AUTO,STOLEN AUTO,3/5/2010 7:16:58 AM,4TH ST NE & BRYANT ST NE,NO NARRATIVE IS AVAILABLE.,38.92129504708110,-77.00056862482160,WASHINGTON,DC,5,5C,5C08,FIFTH,501,21,NONE,NONE,NONE,NONE
811404,10027030,3/3/2010 12:00:00 AM,UNK,THEFT,2,3/5/2010 7:16:58 AM,4200 B/O 12TH PL NE,NO NARRATIVE IS AVAILABLE.,38.941260600203,-76.98926825019990,WASHINGTON,DC,5,5A,5A05,FOURTH,405,20,NONE,NONE,NONE,NONE
811517,10027165,3/3/2010 12:00:00 AM,UNK,BURGLARY,2,3/5/2010 7:16:58 AM,1300 B/O W ST SE,NO NARRATIVE IS AVAILABLE.,38.86435610588660,-76.98692894921230,WASHINGTON,DC,8,8A,8A05,SEVENTH,701,28,NONE,NONE,NONE,NONE
811532,10027130,3/3/2010 12:00:00 AM,UNK,THEFT,1,3/5/2010 7:16:58 AM,1800 B/O N ST NW,NO NARRATIVE IS AVAILABLE.,38.90724789056850,-77.04187501278540,WASHINGTON,DC,2,2B,2B02,SECOND,208,6,NONE,NONE,NONE,GOLDEN TRIANGLE BID
811542,10027204,3/3/2010 12:00:00 AM,UNK,THEFT,BICYCLE,3/5/2010 7:16:58 AM,200 B/O 12TH PL NE,NO NARRATIVE IS AVAILABLE.,38.892794092806,-76.98925897079680,WASHINGTON,DC,6,6A,6A03,FIRST,103,25,NONE,NONE,NONE,NONE
811554,10027167,3/3/2010 12:00:00 AM,UNK,THEFT,1,3/5/2010 7:16:58 AM,1700 B/O RHODE ISLAND AVE NW,NO NARRATIVE IS AVAILABLE.,38.90610286339560,-77.03980917614170,WASHINGTON,DC,2,2B,2B05,SECOND,208,6,NONE,NONE,NONE,GOLDEN TRIANGLE BID
811564,10027216,3/3/2010 12:00:00 AM,UNK,BURGLARY,2,3/5/2010 7:16:58 AM,3000 B/O VEAZEY TER NW,NO NARRATIVE IS AVAILABLE.,38.94424943440880,-77.06260954990350,WASHINGTON,DC,3,3F,3F02,SECOND,203,12,NONE,NONE,NONE,NONE
811572,10027247,3/4/2010 12:00:00 AM,UNK,THEFT F/AUTO,1,3/5/2010 7:17:07 AM,14TH ST SW & INDEPENDENCE AVE SW,NO NARRATIVE IS AVAILABLE.,38.88756755530310,-77.03195161998960,WASHINGTON,DC,2,2F,2F03,FIRST,104,9,NONE,NONE,NONE,NONE
811582,10027252,3/4/2010 12:00:00 AM,UNK,ADW,OTHER,3/5/2010 7:17:07 AM,1400 B/O SPRING RD NW,NO NARRATIVE IS AVAILABLE.,38.93739605776830,-77.03431782359460,WASHINGTON,DC,1,1A,1A01,THIRD,302,2,NONE,NONE,NONE,NONE
811588,10027265,3/4/2010 12:00:00 AM,UNK,ROBBERY,F&V,3/5/2010 7:17:07 AM,EMERSON ST NW & KANSAS AVE NW,NO NARRATIVE IS AVAILABLE.,38.94994136007220,-77.01994251836740,,,4,4D,4D03,FOURTH,403,18,NONE,NONE,NONE,NONE
811590,10027287,3/4/2010 12:00:00 AM,UNK,THEFT F/AUTO,1,3/5/2010 7:17:07 AM,3500 B/O CARPENTER ST SE,NO NARRATIVE IS AVAILABLE.,38.87045511163290,-76.95428298924610,WASHINGTON,DC,7,7B,7B07,SIXTH,605,34,NONE,NONE,NONE,NONE
811598,10027257,3/4/2010 12:00:00 AM,UNK,THEFT F/AUTO,1,3/5/2010 7:17:07 AM,700 B/O PENNSYLVANIA AVE NW,NO NARRATIVE IS AVAILABLE.,38.893595063753,-77.02294300681810,WASHINGTON,DC,6,6C,6C09,FIRST,101,8,NONE,NONE,NONE,DOWNTOWN BID
811610,10027298,3/4/2010 12:00:00 AM,UNK,ARSON,ARSON,3/5/2010 7:17:07 AM,700 B/O IRVING ST NE,NO NARRATIVE IS AVAILABLE.,38.92841545369110,-76.99556780586290,WASHINGTON,DC,5,5C,5C09,FIFTH,501,21,NONE,NONE,NONE,NONE
811621,10027234,3/3/2010 12:00:00 AM,UNK,ADW,OTHER,3/5/2010 7:17:07 AM,5000 B/O B ST SE,NO NARRATIVE IS AVAILABLE.,38.88650824607370,-76.929232795096,WASHINGTON,DC,7,7E,7E05,SIXTH,604,33,NONE,NONE,NONE,NONE
811625,10027314,3/4/2010 12:00:00 AM,UNK,THEFT,1,3/5/2010 7:17:07 AM,900 B/O 11TH ST NE,NO NARRATIVE IS AVAILABLE.,38.901916091175,-76.99152727118160,WASHINGTON,DC,6,6A,6A01,FIRST,102,25,NONE,NONE,NONE,NONE
811628,10027308,3/4/2010 12:00:00 AM,UNK,STOLEN AUTO,STOLEN AUTO,3/5/2010 7:17:07 AM,3300 B/O V ST NE,NO NARRATIVE IS AVAILABLE.,38.91852790848140,-76.958604115198,WASHINGTON,DC,5,5B,5B09,FIFTH,503,24,NONE,NONE,NONE,NONE
811642,10027337,3/4/2010 12:00:00 AM,UNK,ADW,OTHER,3/5/2010 7:17:07 AM,800 B/O 14TH ST NW,NO NARRATIVE IS AVAILABLE.,38.90077176551940,-77.03196154057340,WASHINGTON,DC,2,2F,2F03,FIRST,101,8,NONE,NONE,NONE,DOWNTOWN BID
811644,10027335,3/4/2010 12:00:00 AM,UNK,THEFT,1,3/5/2010 7:17:07 AM,1100 B/O K ST NE,NO NARRATIVE IS AVAILABLE.,38.90251087558510,-76.99088267981390,WASHINGTON,DC,6,6A,6A01,FIRST,102,25,NONE,NONE,NONE,NONE
811646,10027340,3/4/2010 12:00:00 AM,UNK,THEFT F/AUTO,1,3/5/2010 7:17:07 AM,100 B/O UHLAND TER NE,NO NARRATIVE IS AVAILABLE.,38.91755761714860,-77.00429999352230,WASHINGTON,DC,5,5C,5C06,FIFTH,501,21,NONE,NONE,NONE,NONE
811662,10027346,3/4/2010 12:00:00 AM,UNK,STOLEN AUTO,STOLEN AUTO,3/5/2010 7:17:07 AM,1300 B/O VALLEY PL SE,NO NARRATIVE IS AVAILABLE.,38.86265403716390,-76.98706457430220,WASHINGTON,DC,8,8A,8A05,SEVENTH,701,28,NONE,NONE,NONE,NONE
811666,10027343,3/4/2010 12:00:00 AM,UNK,THEFT F/AUTO,2,3/5/2010 7:17:07 AM,1500 B/O A ST SE,NO NARRATIVE IS AVAILABLE.,38.88867299426910,-76.982932698673,WASHINGTON,DC,6,6B,6B08,FIRST,107,26,NONE,NONE,NONE,NONE
811668,10027354,3/4/2010 12:00:00 AM,UNK,STOLEN AUTO,STOLEN AUTO,3/5/2010 7:17:07 AM,100 B/O TAUSSIG PL NE,NO NARRATIVE IS AVAILABLE.,38.94150772314090,-77.00512654421730,WASHINGTON,DC,5,5C,5C12,FOURTH,405,19,NONE,NONE,NONE,NONE
811674,10027057,3/3/2010 12:00:00 AM,UNK,BURGLARY,1 ARMED,3/5/2010 7:17:07 AM,3400 B/O 13TH PL SE,NO NARRATIVE IS AVAILABLE.,38.84164759267620,-76.98728147760370,WASHINGTON,DC,8,8E,8E03,SEVENTH,705,38,NONE,NONE,NONE,NONE
811682,10027353,3/4/2010 12:00:00 AM,UNK,THEFT F/AUTO,2,3/5/2010 7:17:07 AM,700 B/O LONGFELLOW ST NW,NO NARRATIVE IS AVAILABLE.,38.95742132110480,-77.02322638980070,WASHINGTON,DC,4,4D,4D01,FOURTH,403,18,NONE,NONE,NONE,NONE
811684,10027357,3/4/2010 12:00:00 AM,UNK,THEFT F/AUTO,2,3/5/2010 7:17:07 AM,3800 B/O HARRISON ST NW,NO NARRATIVE IS AVAILABLE.,38.957018837150,-77.07586644375650,WASHINGTON,DC,3,3E,3E04,SECOND,202,11,NONE,NONE,NONE,NONE
811686,10027375,3/4/2010 12:00:00 AM,UNK,THEFT,2,3/5/2010 7:17:07 AM,58TH ST NE & EAST CAPITOL ST,NO NARRATIVE IS AVAILABLE.,38.88976069727510,-76.91778036393640,WASHINGTON,DC,7,7E,7E07,SIXTH,604,31,NONE,NONE,NONE,NONE
811689,10027379,3/4/2010 12:00:00 AM,UNK,STOLEN AUTO,STOLEN AUTO,3/5/2010 7:17:07 AM,5000 B/O BASS PL SE,NO NARRATIVE IS AVAILABLE.,38.88583481688720,-76.92937861743240,WASHINGTON,DC,7,7E,7E05,SIXTH,604,33,NONE,NONE,NONE,NONE
811693,10027399,3/4/2010 12:00:00 AM,UNK,THEFT F/AUTO,1,3/5/2010 7:17:07 AM,2000 B/O TRUMBULL TER NW,NO NARRATIVE IS AVAILABLE.,38.94153061958910,-77.046294275532,WASHINGTON,DC,4,4A,4A08,FOURTH,404,18,NONE,NONE,NONE,NONE
811696,10027393,3/4/2010 12:00:00 AM,UNK,THEFT,2,3/5/2010 7:17:07 AM,600 B/O 46TH PL SE,NO NARRATIVE IS AVAILABLE.,38.88108574903140,-76.93553486130070,WASHINGTON,DC,7,7A,7A01,SIXTH,604,33,NONE,NONE,NONE,NONE
811700,10027363,3/4/2010 12:00:00 AM,UNK,BURGLARY,2,3/5/2010 7:17:07 AM,5300 B/O 28TH ST NW,NO NARRATIVE IS AVAILABLE.,38.95971054865110,-77.05747580671120,WASHINGTON,DC,4,3G,3G03,SECOND,201,10,NONE,NONE,NONE,NONE
811706,10027398,3/4/2010 12:00:00 AM,UNK,THEFT,2,3/5/2010 7:17:07 AM,5500 B/O CONNECTICUT AVE NW,NO NARRATIVE IS AVAILABLE.,38.963545736537,-77.07478444795210,WASHINGTON,DC,3,3G,3G06,SECOND,201,10,NONE,NONE,NONE,NONE
811710,10027373,3/4/2010 12:00:00 AM,UNK,BURGLARY,2,3/5/2010 7:17:07 AM,3600 B/O 14TH ST NW,NO NARRATIVE IS AVAILABLE.,38.93667128886070,-77.03273023523430,WASHINGTON,DC,1,1A,1A01,THIRD,302,2,NONE,NONE,NONE,NONE
811712,10027389,3/4/2010 12:00:00 AM,UNK,THEFT F/AUTO,2,3/5/2010 7:17:07 AM,7TH ST SW & G ST SW,NO NARRATIVE IS AVAILABLE.,38.88127993635430,-77.02190588767240,WASHINGTON,DC,6,6D,6D01,FIRST,104,9,NONE,NONE,NONE,NONE
811721,10027402,3/4/2010 12:00:00 AM,UNK,BURGLARY,1,3/5/2010 7:17:07 AM,4900 B/O 1ST ST NW,NO NARRATIVE IS AVAILABLE.,38.95028725484750,-77.01278693520740,WASHINGTON,DC,4,4D,4D05,FOURTH,403,19,NONE,NONE,NONE,NONE
811739,10027445,3/4/2010 12:00:00 AM,UNK,THEFT,2,3/5/2010 7:17:07 AM,3900 B/O CHESAPEAKE ST NW,NO NARRATIVE IS AVAILABLE.,38.95072098507490,-77.07779569304470,WASHINGTON,DC,3,3F,3F06,SECOND,202,11,NONE,NONE,NONE,NONE
811743,10027420,3/4/2010 12:00:00 AM,UNK,ROBBERY,FEAR,3/5/2010 7:17:07 AM,400 B/O M ST SW,NO NARRATIVE IS AVAILABLE.,38.87646159097290,-77.01872569353370,WASHINGTON,DC,6,6D,6D01,FIRST,104,9,NONE,NONE,NONE,NONE
811745,10027455,3/4/2010 12:00:00 AM,UNK,STOLEN AUTO,STOLEN AUTO,3/5/2010 7:17:07 AM,3500 B/O 6TH ST SE,NO NARRATIVE IS AVAILABLE.,38.839071056405,-76.99845423679430,WASHINGTON,DC,8,8E,8E05,SEVENTH,705,39,NONE,NONE,NONE,NONE
811749,10027467,3/4/2010 12:00:00 AM,UNK,STOLEN AUTO,STOLEN AUTO,3/5/2010 7:17:07 AM,1800 B/O COLUMBIA RD NW,NO NARRATIVE IS AVAILABLE.,38.92158251519320,-77.04349981169470,WASHINGTON,DC,1,1C,1C03,THIRD,303,1,NONE,NONE,NONE,ADAMS MORGAN BID
811760,10027424,3/4/2010 12:00:00 AM,UNK,ROBBERY,F&V,3/5/2010 7:17:08 AM,,NO NARRATIVE IS AVAILABLE.,0,0,,,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE
811761,10027479,3/4/2010 12:00:00 AM,UNK,ROBBERY,ATTEMPT,3/5/2010 7:17:08 AM,1800 B/O ADAMS MILL RD NW,NO NARRATIVE IS AVAILABLE.,38.92309789359960,-77.04301754828560,WASHINGTON,DC,1,1C,1C04,THIRD,303,1,NONE,NONE,NONE,ADAMS MORGAN BID
811762,10027441,3/4/2010 12:00:00 AM,UNK,ADW,OTHER,3/5/2010 7:17:08 AM,900 B/O E ST NW,NO NARRATIVE IS AVAILABLE.,38.896131909821,-77.02497519633760,WASHINGTON,DC,2,2C,2C03,FIRST,101,8,NONE,NONE,NONE,DOWNTOWN BID
811777,10027476,3/4/2010 12:00:00 AM,UNK,BURGLARY,2,3/5/2010 7:17:08 AM,4400 B/O EDSON PL NE,NO NARRATIVE IS AVAILABLE.,38.89677612748760,-76.93847176726670,WASHINGTON,DC,7,7D,7D05,SIXTH,602,30,NONE,NONE,NONE,NONE
811786,10027500,3/4/2010 12:00:00 AM,UNK,THEFT F/AUTO,2,3/5/2010 7:17:08 AM,1700 B/O RHODE ISLAND AVE NE,NO NARRATIVE IS AVAILABLE.,38.92726328277550,-76.97992282359050,WASHINGTON,DC,5,5B,5B04,FIFTH,502,22,NONE,NONE,NONE,NONE
811787,10027511,3/4/2010 12:00:00 AM,UNK,THEFT F/AUTO,2,3/5/2010 7:17:08 AM,,NO NARRATIVE IS AVAILABLE.,0,0,WASHINGTON,DC,1,1B,1B11,THIRD,304,2,NONE,NONE,NONE,NONE
811788,10027495,3/4/2010 12:00:00 AM,UNK,THEFT,2,3/5/2010 7:17:08 AM,900 B/O INGRAHAM ST NW,NO NARRATIVE IS AVAILABLE.,38.95407692831140,-77.02648996539590,WASHINGTON,DC,4,4D,4D04,FOURTH,403,18,NONE,NONE,NONE,NONE
811798,10023707,2/24/2010 12:00:00 AM,UNK,THEFT F/AUTO,2,3/5/2010 7:17:08 AM,1400 B/O 12TH ST NW,NO NARRATIVE IS AVAILABLE.,38.90911083481430,-77.02808590506390,WASHINGTON,DC,2,2F,2F04,THIRD,307,7,NONE,NONE,NONE,NONE
811804,10027514,3/4/2010 12:00:00 AM,UNK,THEFT,2,3/5/2010 7:17:08 AM,1200 B/O WISCONSIN AVE NW,NO NARRATIVE IS AVAILABLE.,38.90593793030880,-77.06286386205550,WASHINGTON,DC,2,2E,2E05,SECOND,206,4,NONE,NONE,NONE,GEORGETOWN BID
811806,10027558,3/4/2010 12:00:00 AM,UNK,THEFT F/AUTO,2,3/5/2010 7:17:08 AM,2ND ST SE & SOUTH CAROLINA AVE SE,NO NARRATIVE IS AVAILABLE.,38.88196226261280,-77.00351163700730,WASHINGTON,DC,6,6B,6B01,FIRST,105,26,NONE,NONE,NONE,NONE
811808,10027544,3/4/2010 12:00:00 AM,UNK,THEFT F/AUTO,1,3/5/2010 7:17:08 AM,600 B/O KEEFER PL NW,NO NARRATIVE IS AVAILABLE.,38.930691648147,-77.022404235003,WASHINGTON,DC,1,1A,1A09,THIRD,302,2,NONE,NONE,GEORGIA AVE NW,NONE
811813,10027530,3/4/2010 12:00:00 AM,UNK,THEFT F/AUTO,2,3/5/2010 7:17:08 AM,200 B/O 7TH ST SE,NO NARRATIVE IS AVAILABLE.,38.88671358998110,-76.99619064177590,WASHINGTON,DC,6,6B,6B02,FIRST,106,26,NONE,NONE,NONE,CAPITOL HILL BID
811814,10027529,3/4/2010 12:00:00 AM,UNK,THEFT,2,3/5/2010 7:17:08 AM,1000 B/O BRENTWOOD RD NE,NO NARRATIVE IS AVAILABLE.,38.91899952170170,-76.99169172418960,WASHINGTON,DC,5,5B,5B03,FIFTH,505,22,NONE,NONE,NONE,NONE
811826,10027581,3/4/2010 12:00:00 AM,UNK,THEFT,2,3/5/2010 7:17:08 AM,1100 B/O E ST SE,NO NARRATIVE IS AVAILABLE.,38.88282336445560,-76.99088879716960,WASHINGTON,DC,6,6B,6B04,FIRST,106,26,NONE,NONE,NONE,CAPITOL HILL BID
811829,10027595,3/4/2010 12:00:00 AM,UNK,ROBBERY,PBS,3/5/2010 7:17:08 AM,SAVANNAH ST SE & STANTON RD SE,NO NARRATIVE IS AVAILABLE.,38.84573247936390,-76.97964320933060,,,8,8B,8B07,SEVENTH,704,38,NONE,NONE,NONE,NONE
811834,10027582,3/4/2010 12:00:00 AM,UNK,BURGLARY,2,3/5/2010 7:17:08 AM,200 B/O NEWCOMB ST SE,NO NARRATIVE IS AVAILABLE.,38.84851095495010,-77.00377391199320,WASHINGTON,DC,8,8C,8C02,SEVENTH,705,39,NONE,NONE,NONE,NONE
811847,10027559,3/4/2010 12:00:00 AM,UNK,THEFT F/AUTO,2,3/5/2010 7:17:07 AM,3000 B/O 16TH ST NE,NO NARRATIVE IS AVAILABLE.,38.92851273546690,-76.98236382198210,WASHINGTON,DC,5,5B,5B04,FIFTH,502,22,NONE,NONE,NONE,NONE
811848,10027522,3/4/2010 12:00:00 AM,UNK,BURGLARY,2,3/5/2010 7:17:07 AM,1100 B/O 21ST PL NE,NO NARRATIVE IS AVAILABLE.,38.904951391564,-76.97319977437120,WASHINGTON,DC,5,5B,5B12,FIFTH,504,23,NONE,NONE,NONE,NONE
811866,10027574,3/4/2010 12:00:00 AM,UNK,BURGLARY,2,3/5/2010 7:17:07 AM,2300 B/O 11TH ST NW,NO NARRATIVE IS AVAILABLE.,38.92159578842410,-77.02703639374930,WASHINGTON,DC,1,1B,1B03,THIRD,304,2,NONE,NONE,NONE,NONE
